year,month,sstarc
1937,12,0.080004078
1938,1,0.363039893
1938,2,-0.243378469
1938,3,-0.453493185
1938,4,-0.245803653
1938,5,-0.336630607
1938,6,-0.251137816
1938,7,-0.221804349
1938,8,-0.183017954
1938,9,-0.301078395
1938,10,-0.178419463
1938,11,-0.565783854
1938,12,-0.364330095
1939,1,-0.505849669
1939,2,-0.588387734
1939,3,-0.597247705
1939,4,-0.526409118
1939,5,-0.258276377
1939,6,-0.595909364
1939,7,-0.544467801
1939,8,-0.693607939
1939,9,-0.505283829
1939,10,-0.255653702
1939,11,-0.60423272
1939,12,-0.250242863
1940,1,0.066886197
1940,2,-0.007259424
1940,3,0.316630086
1940,4,0.78233599
1940,5,0.991819452
1940,6,0.869590468
1940,7,0.67170459
1940,8,0.235135598
1940,9,0.201363503
1940,10,0.401956741
1940,11,0.592541129
1940,12,0.639926502
1941,1,0.818561297
1941,2,1.02506039
1941,3,0.661832879
1941,4,0.892096821
1941,5,0.929256294
1941,6,0.884487492
1941,7,0.815712699
1941,8,0.751960077
1941,9,0.930338238
1941,10,0.782913463
1941,11,1.168038755
1941,12,1.06322738
1942,1,0.635396646
1942,2,0.845855447
1942,3,0.396909011
1942,4,0.352236136
1942,5,0.357465314
1942,6,0.117135503
1942,7,0.308196119
1942,8,0.245903403
1942,9,0.309451554
1942,10,0.379247614
1942,11,0.297640092
1942,12,0.100559692
1943,1,0.001563251
1943,2,-0.133328703
1943,3,0.097079577
1943,4,0.175962126
1943,5,-0.063839467
1943,6,-0.007789492
1943,7,-0.101747536
1943,8,-0.147210559
1943,9,-0.262381603
1943,10,-0.262294084
1943,11,-0.130930066
1943,12,0.196277673
1944,1,0.15988727
1944,2,0.052029389
1944,3,-0.053824255
1944,4,-0.16133541
1944,5,-0.219509023
1944,6,-0.334615842
1944,7,-0.30773174
1944,8,-0.174416572
1944,9,-0.233401784
1944,10,-0.044482282
1944,11,0.324742802
1944,12,0.440940799
1945,1,0.450780818
1945,2,0.399486645
1945,3,-0.061964661
1945,4,0.567794954
1945,5,0.186683684
1945,6,0.062356645
1945,7,0.11634151
1945,8,0.013609745
1945,9,0.0093251
1945,10,0.357382125
1945,11,0.069335281
1945,12,-0.171181564
1946,1,-0.119339219
1946,2,-0.567348538
1946,3,-0.337578687
1946,4,0.287470876
1946,5,-0.270585296
1946,6,-0.058385265
1946,7,0.04750344
1946,8,-0.254428961
1946,9,-0.241126447
1946,10,-0.172617263
1946,11,-0.57393679
1946,12,-0.852211396
1947,1,-0.361399117
1947,2,-0.269877733
1947,3,-0.054910373
1947,4,0.359693443
1947,5,-0.112721275
1947,6,0.760563967
1947,7,0.243159074
1947,8,-0.036036426
1947,9,-0.384162245
1947,10,0.259928965
1947,11,-0.200565115
1947,12,-0.75546713
1948,1,-0.666153338
1948,2,-0.717168804
1948,3,-0.502274776
1948,4,-0.716635215
1948,5,-0.413878174
1948,6,0.233606651
1948,7,0.411465709
1948,8,0.196478295
1948,9,-0.412848803
1948,10,-0.875822334
1948,11,-0.844520386
1948,12,-0.887659093
1949,1,-1.085318991
1949,2,-0.971028841
1949,3,-0.772118493
1949,4,-0.601687116
1949,5,-0.416378519
1949,6,-0.473297007
1949,7,-0.371684854
1949,8,-0.391673756
1949,9,-0.298277214
1949,10,-0.582630978
1949,11,-0.279198932
1949,12,-0.207991797
1950,1,-0.525528646
1950,2,-0.491331336
1950,3,-0.465012238
1950,4,-0.530902364
1950,5,-0.813149533
1950,6,-0.865144901
1950,7,-0.8742606
1950,8,-0.538417997
1950,9,-0.301955879
1950,10,-0.346636478
1950,11,-0.369080027
1950,12,-0.035889291
1951,1,-0.313928495
1951,2,-0.37343979
